,Max,Mean,Median,Min,SDR < 01.0,SDR < 02.0,SDR < 05.0,SDR < 10.0,Std
TMT1-D,13.398826,1.9058442,1.1083109,0.38640732,47.36842215061188,78.39335203170776,94.73684430122375,94.73684430122375,2.8361964
MTB1,6.3220415,2.125473,1.9719895,0.22323863,26.03878080844879,52.07756161689758,94.73684430122375,100.0,1.4412329
MTP1-P,3.8262827,1.2665695,1.0787597,0.14936662,41.551247239112854,83.65650773048401,100.0,100.0,0.87711483
MTP1-D,2.929322,0.8319353,0.5994813,0.14992358,74.2382287979126,93.90581846237183,100.0,100.0,0.6636217
FIP1-P,2.8454103,0.88556975,0.7585949,0.23335835,67.3130214214325,94.73684430122375,100.0,100.0,0.55004776
FIP1-D,2.0621252,0.8756827,0.9205699,0.1653876,70.36011219024658,95.0138509273529,100.0,100.0,0.44546986
FDP1-P,3.0014784,1.4367892,1.3761228,0.29981348,40.166205167770386,73.40720295906067,100.0,100.0,0.6885213
TMT2-D,3.018108,1.0783793,1.0180398,0.21242517,50.969529151916504,89.47368264198303,100.0,100.0,0.7065997
MTB2,8.50372,2.315406,1.6501552,0.2174218,31.578946113586426,52.90858745574951,94.45983171463013,100.0,1.9823666
MTP2-P,2.3643458,0.97107387,0.9055313,0.21553549,65.65096974372864,84.48753356933594,100.0,100.0,0.64478606
MTP2-D,1.5785947,0.77160245,0.7103732,0.118612334,68.97506713867188,100.0,100.0,100.0,0.4420668
FIP2-P,3.4083216,1.1234633,0.80557036,0.19862418,58.17174315452576,88.91966938972473,100.0,100.0,0.8090946
TMT3-D,5.4985046,2.0179982,1.6484311,0.21856941,27.14681327342987,58.17174315452576,93.90581846237183,100.0,1.5344656
MTB3,7.691823,2.9798844,2.5600233,0.45163903,8.033241331577301,36.28808856010437,88.36565017700195,100.0,1.7645872
MTP3-P,4.331835,1.0104916,0.8396746,0.04474641,67.03600883483887,94.45983171463013,100.0,100.0,0.8770555
MTP3-D,2.9346278,0.7683772,0.6154443,0.25215867,83.37950110435486,94.73684430122375,100.0,100.0,0.57616395
FIP3-P,3.1045618,0.9407913,0.74051917,0.1381871,70.63711881637573,93.90581846237183,100.0,100.0,0.70337963
TMT4-D,3.0863345,1.312396,1.3538595,0.3960275,32.132965326309204,88.36565017700195,100.0,100.0,0.6625705
MTB4,9.161595,3.412996,2.9261262,0.41565257,10.526315867900848,26.03878080844879,78.94737124443054,99.44598078727722,2.0867696
MTP4-P,2.9423475,0.9765989,0.75953346,0.23858063,76.7313003540039,89.47368264198303,100.0,100.0,0.72616965
MTP4-D,1.4870886,0.6067319,0.5237795,0.20344183,88.36565017700195,100.0,100.0,100.0,0.30474472
FIP4-P,1.7421074,0.8582031,0.71527046,0.12227685,63.71191143989563,100.0,100.0,100.0,0.42578456
TMT5-D,7.1450047,2.5754356,2.1287248,0.7293574,10.526315867900848,48.19944500923157,94.73684430122375,100.0,1.4695112
MTB5,6.878331,2.4374142,2.0202184,0.36451247,23.268698155879974,51.80055499076843,89.47368264198303,100.0,1.7797122
MTP5-P,5.107732,1.2217474,1.0166026,0.10984825,42.105263471603394,89.47368264198303,95.0138509273529,100.0,1.04015
MTP5-D,1.4037395,0.58696085,0.4930986,0.0435554,83.65650773048401,100.0,100.0,100.0,0.40172878
FIP5-P,1.7816684,0.86330324,0.77041215,0.062509246,65.65096974372864,99.72299337387085,100.0,100.0,0.45970052
