,Max,Mean,Median,Min,SDR < 01.0,SDR < 02.0,SDR < 05.0,SDR < 10.0,Std
WRC,3.6215363,1.5047491,1.5869361,0.26605344,31.024929881095886,77.00831294059753,100.0,100.0,0.8811858
CMC1-D,1.9768915,0.9352517,1.0071312,0.14763744,55.12465238571167,96.39889001846313,100.0,100.0,0.40641528
MCB1,4.0762124,1.5475868,1.413888,0.2756797,33.79501402378082,75.34626126289368,100.0,100.0,0.990272
MCP1-P,2.482326,0.9738323,0.885109,0.22097735,56.78670406341553,94.73684430122375,100.0,100.0,0.5683269
MCP1-D,1.6768773,0.53083336,0.45067734,0.14407147,84.21052694320679,100.0,100.0,100.0,0.42961589
PIP1-P,1.6306108,0.87420386,0.94210535,0.23658957,67.59002804756165,97.50692248344421,100.0,100.0,0.33460382
PIP1-D,1.927963,0.91198933,0.8465539,0.26078227,65.09695053100586,96.39889001846313,100.0,100.0,0.4238382
DIP1-P,1.296697,0.6262971,0.60410595,0.13655323,85.04155278205872,100.0,100.0,100.0,0.33794275
CMC2-D,2.4775436,1.0214946,0.81212926,0.14571936,56.23268485069275,91.13573431968689,100.0,100.0,0.7154738
MCB2,3.5540426,2.2135437,2.6549892,0.63660306,17.45152324438095,39.05817270278931,100.0,100.0,0.9692822
MCP2-P,2.115977,0.6981123,0.56886333,0.107688844,72.85318374633789,94.73684430122375,100.0,100.0,0.53073686
MCP2-D,4.174786,0.675405,0.36943853,0.1264463,91.13573431968689,94.73684430122375,100.0,100.0,0.86454546
PIP2-P,12.251559,1.0399253,0.3971866,0.026863819,91.68975353240967,94.73684430122375,94.73684430122375,96.39889001846313,2.6507897
PIP2-D,9.050628,0.9004348,0.31992644,0.098489664,89.47368264198303,94.73684430122375,94.73684430122375,100.0,1.9484509
DIP2-P,0.9853907,0.428274,0.38306364,0.11367813,97.50692248344421,100.0,100.0,100.0,0.22857302
CMC3-D,2.0464485,0.93715495,0.8264442,0.115939185,63.43490481376648,94.45983171463013,100.0,100.0,0.5214895
MCB3,2.9508026,1.2729244,1.0191419,0.20968984,50.138503313064575,74.7922420501709,100.0,100.0,0.89553195
MCP3-P,1.7345343,0.5931767,0.40449625,0.17426637,80.88642954826355,100.0,100.0,100.0,0.4794871
MCP3-D,2.7353983,0.59561765,0.41495287,0.017114772,87.81163692474365,94.73684430122375,100.0,100.0,0.60627544
PIP3-P,0.669644,0.29761064,0.26346728,0.017614326,100.0,100.0,100.0,100.0,0.19337758
PIP3-D,1.7552346,0.58558357,0.55190706,0.2149591,94.73684430122375,96.95290923118591,100.0,100.0,0.32356694
DIP3-P,0.9725196,0.4967586,0.49992839,0.1033095,94.45983171463013,100.0,100.0,100.0,0.27609414
CMC4-D,2.6903162,1.1666058,1.1321231,0.28755388,40.997231006622314,88.0886435508728,100.0,100.0,0.56161886
MCB4,3.5274742,1.3824847,1.1572071,0.15218571,37.39612102508545,85.31855940818787,100.0,100.0,0.8478933
MCP4-P,1.518834,0.49148393,0.40853617,0.12237649,88.0886435508728,100.0,100.0,100.0,0.36207375
MCP4-D,0.85600257,0.4510331,0.43988508,0.10093783,96.95290923118591,100.0,100.0,100.0,0.21348628
PIP4-P,0.86508274,0.49037367,0.55508757,0.051459555,100.0,100.0,100.0,100.0,0.21987514
PIP4-D,1.300209,0.5734458,0.5550942,0.0740746,84.48753356933594,100.0,100.0,100.0,0.3433155
DIP4-P,1.3724098,0.44741625,0.39136449,0.13463594,94.73684430122375,100.0,100.0,100.0,0.26927352
CMC5-D,2.1317098,0.8822104,0.83553916,0.16130987,57.617729902267456,94.18282508850098,100.0,100.0,0.5716834
MCB5,3.241552,1.388547,1.2327902,0.39670402,36.01107895374298,81.717449426651,100.0,100.0,0.8113135
MCP5-P,1.460242,0.571953,0.4841475,0.017581506,84.21052694320679,100.0,100.0,100.0,0.41361403
MCP5-D,1.3570868,0.60140854,0.5398116,0.061246328,84.48753356933594,100.0,100.0,100.0,0.37318313
PIP5-P,1.111465,0.6479618,0.5549786,0.16946395,87.25761771202087,100.0,100.0,100.0,0.24713777
PIP5-D,1.5119168,0.6121645,0.56992644,0.14416975,86.42659187316895,100.0,100.0,100.0,0.3295073
DIP5-P,1.2539635,0.5079664,0.513765,0.15983966,96.39889001846313,100.0,100.0,100.0,0.24296482
UL-P,3.1773634,1.0285141,0.8935265,0.13030264,56.78670406341553,86.98061108589172,100.0,100.0,0.75297725
UL-B,8.020414,1.5912873,0.98356456,0.18844746,46.26038670539856,79.22437787055969,94.73684430122375,97.50692248344421,1.6829827
RAD-P,4.1596746,1.5221505,1.5070672,0.16794391,31.855955719947815,77.56232619285583,100.0,100.0,0.96902835
RAD-B,8.350539,2.1764402,1.9273827,0.85002935,10.249307751655579,57.617729902267456,94.73684430122375,97.22991585731506,1.6096175
LUN,2.761855,1.2578071,1.1617187,0.07191253,36.56509816646576,85.04155278205872,100.0,100.0,0.68262786
SCP,2.7534149,1.476218,1.3126701,0.3830032,21.052631735801697,80.05540370941162,100.0,100.0,0.6655198
